; - Taxiway1
REGIONNAME Mount Pleasant
smrGrey S051.49.13.354 W058.27.48.700
S051.49.13.122 W058.27.47.888
S051.49.11.402 W058.28.34.694
S051.49.10.456 W058.28.35.475
S051.49.09.639 W058.28.36.327
S051.49.08.966 W058.28.36.989
S051.49.08.828 W058.28.37.651
S051.49.08.666 W058.28.38.439
S051.49.08.574 W058.28.39.193
S051.49.08.529 W058.28.39.895
S051.49.08.888 W058.28.40.179
S051.49.09.181 W058.28.40.181
S051.49.09.643 W058.28.39.793
S051.49.10.996 W058.28.38.454
S051.49.11.615 W058.28.37.856
S051.49.12.412 W058.28.37.104
S051.49.12.918 W058.28.36.664
S051.49.13.147 W058.28.36.449
S051.49.13.321 W058.28.35.316
S051.49.13.435 W058.28.34.384
S051.49.13.524 W058.28.33.631
S051.49.13.632 W058.28.33.169
S051.49.13.741 W058.28.32.878
S051.49.14.120 W058.28.32.947
S051.49.14.280 W058.28.32.063
S051.49.14.560 W058.28.30.474
S051.49.13.990 W058.28.30.266
S051.49.14.030 W058.28.29.465
S051.49.15.425 W058.28.28.273
S051.49.17.157 W058.28.28.896
S051.49.17.789 W058.28.29.404
S051.49.17.795 W058.28.29.776
S051.49.17.555 W058.28.31.458
S051.49.17.259 W058.28.31.678
S051.49.17.106 W058.28.31.659
S051.49.16.942 W058.28.31.534
S051.49.16.739 W058.28.31.467
S051.49.16.580 W058.28.31.370
S051.49.16.401 W058.28.31.252
S051.49.15.923 W058.28.33.767
S051.49.16.571 W058.28.34.085
S051.49.16.756 W058.28.34.112
S051.49.16.907 W058.28.34.128
S051.49.16.908 W058.28.34.433
S051.49.16.874 W058.28.34.777
S051.49.16.836 W058.28.35.001
S051.49.16.789 W058.28.35.355
S051.49.16.770 W058.28.35.583
S051.49.16.732 W058.28.35.786
S051.49.16.720 W058.28.36.106
S051.49.16.708 W058.28.36.410
S051.49.16.721 W058.28.36.679
S051.49.16.768 W058.28.37.225
S051.49.16.733 W058.28.37.534
S051.49.16.726 W058.28.37.702
S051.49.16.705 W058.28.38.191
S051.49.16.711 W058.28.38.325
S051.49.16.864 W058.28.38.429
S051.49.17.020 W058.28.38.410
S051.49.17.203 W058.28.38.456
S051.49.17.372 W058.28.38.505
S051.49.17.469 W058.28.38.474
S051.49.17.564 W058.28.38.444
S051.49.17.672 W058.28.38.337
S051.49.17.714 W058.28.38.051
S051.49.17.747 W058.28.37.754
S051.49.17.759 W058.28.37.450
S051.49.17.738 W058.28.37.212
S051.49.17.739 W058.28.36.911
S051.49.17.630 W058.28.36.794
S051.49.17.400 W058.28.36.776
S051.49.17.196 W058.28.36.750
S051.49.17.040 W058.28.36.534
S051.49.17.049 W058.28.36.027
S051.49.17.150 W058.28.35.387
S051.49.17.218 W058.28.35.036
S051.49.17.366 W058.28.35.108
S051.49.17.565 W058.28.35.140
S051.49.17.717 W058.28.35.157
S051.49.17.894 W058.28.35.210
S051.49.18.019 W058.28.35.210
S051.49.18.136 W058.28.35.221
S051.49.18.244 W058.28.35.223
S051.49.18.318 W058.28.35.260
S051.49.18.339 W058.28.34.978
S051.49.18.354 W058.28.34.591
S051.49.18.363 W058.28.34.261
S051.49.18.424 W058.28.33.524
S051.49.17.741 W058.28.33.321
S051.49.17.634 W058.28.33.123
S051.49.17.927 W058.28.31.537
S051.49.18.154 W058.28.29.948
S051.49.18.371 W058.28.29.456
S051.49.19.037 W058.28.29.721
S051.49.19.643 W058.28.25.620
S051.49.18.089 W058.28.25.020
S051.49.22.092 W058.27.58.812
S051.49.16.497 W058.27.56.277
S051.49.16.180 W058.27.55.969
S051.49.15.707 W058.27.55.265
S051.49.14.224 W058.27.51.136
S051.49.13.877 W058.27.50.129
; - Untitled_Polygon_1
REGIONNAME Mount Plesant
S051.49.16.420 W058.28.31.209
S051.49.14.556 W058.28.30.472
S051.49.14.117 W058.28.32.960
S051.49.15.928 W058.28.33.743
; - Runway_10/28
REGIONNAME Mount Plesant
smrTaxiway S051.49.26.732 W058.26.19.868
S051.49.25.324 W058.26.19.254
S051.49.03.113 W058.28.30.020
S051.49.04.637 W058.28.30.645
; - Runway_05/23
REGIONNAME Mount Plesant
smrTaxiway S051.49.27.957 W058.26.59.063
S051.48.59.813 W058.25.53.421
S051.48.59.201 W058.25.54.127
S051.49.27.378 W058.26.59.733
; - Runway_Joinups
REGIONNAME Mount Plesant
smrTaxiway S051.49.21.220 W058.26.43.357
S051.49.21.393 W058.26.42.414
S051.49.21.559 W058.26.41.465
S051.49.21.670 W058.26.40.763
S051.49.21.342 W058.26.41.378
S051.49.21.005 W058.26.41.565
S051.49.20.594 W058.26.41.502
S051.49.20.318 W058.26.41.246
; - Runway_Joinups1
REGIONNAME Mount Plesant
smrTaxiway S051.49.20.752 W058.26.44.738
S051.49.20.806 W058.26.45.275
S051.49.20.774 W058.26.46.041
S051.49.20.982 W058.26.44.859
S051.49.20.539 W058.26.43.807
S051.49.20.686 W058.26.44.359
; - Runway_Joinups2
REGIONNAME Mount Plesant
smrTaxiway S051.49.22.705 W058.26.46.827
S051.49.22.618 W058.26.46.440
S051.49.22.548 W058.26.46.048
S051.49.22.511 W058.26.45.514
S051.49.22.511 W058.26.44.902
S051.49.22.331 W058.26.45.923
; - Runway_Joinups3
REGIONNAME Mount Plesant
smrTaxiway S051.49.21.896 W058.26.49.280
S051.49.22.028 W058.26.49.189
S051.49.22.209 W058.26.49.060
S051.49.22.417 W058.26.49.024
S051.49.22.655 W058.26.49.067
S051.49.22.822 W058.26.49.130
S051.49.22.082 W058.26.47.411
S051.49.21.702 W058.26.49.627
; - Runway_Joinups4
REGIONNAME Mount Plesant
smrTaxiway S051.49.29.205 W058.26.57.528
S051.49.28.205 W058.26.55.361
S051.49.25.482 W058.26.53.279
S051.49.27.943 W058.26.59.038
; - Taxiway2
REGIONNAME Mount Plesant
smrGrey S051.49.16.434 W058.27.11.539
S051.49.16.128 W058.27.11.936
S051.49.15.746 W058.27.12.110
S051.49.15.405 W058.27.11.975
S051.49.15.125 W058.27.11.644
S051.49.14.966 W058.27.11.193
S051.49.14.424 W058.27.09.644
S051.49.13.172 W058.27.06.025
S051.49.12.878 W058.27.05.240
S051.49.12.790 W058.27.04.842
S051.49.12.737 W058.27.04.453
S051.49.12.722 W058.27.04.102
S051.49.12.699 W058.27.03.846
S051.49.12.718 W058.27.03.247
S051.49.12.767 W058.27.02.842
S051.49.12.791 W058.27.02.616
S051.49.10.807 W058.27.01.723
S051.49.09.978 W058.27.02.459
S051.49.09.733 W058.27.03.959
S051.49.10.180 W058.27.05.270
S051.49.11.116 W058.27.05.658
S051.49.11.343 W058.27.05.424
S051.49.11.634 W058.27.05.211
S051.49.11.893 W058.27.05.167
S051.49.12.074 W058.27.05.222
S051.49.12.284 W058.27.05.373
S051.49.12.498 W058.27.05.629
S051.49.13.503 W058.27.08.450
S051.49.14.026 W058.27.10.014
S051.49.14.494 W058.27.11.347
S051.49.14.814 W058.27.12.204
S051.49.15.126 W058.27.13.046
S051.49.15.349 W058.27.13.686
S051.49.15.548 W058.27.14.282
S051.49.15.696 W058.27.14.909
S051.49.15.721 W058.27.15.781
; - Taxiway3
REGIONNAME Mount Plesant
smrGrey S051.49.12.782 W058.27.02.602
S051.49.15.345 W058.26.47.490
S051.49.13.395 W058.26.46.647
S051.49.12.518 W058.26.47.412
S051.49.12.302 W058.26.48.854
S051.49.12.770 W058.26.50.211
S051.49.14.303 W058.26.50.875
S051.49.12.323 W058.27.02.406
; - Taxiway4
REGIONNAME Mount Plesant
smrGrey S051.49.16.618 W058.26.40.120
S051.49.16.759 W058.26.39.603
S051.49.16.965 W058.26.39.008
S051.49.17.094 W058.26.38.756
S051.49.17.298 W058.26.38.524
S051.49.17.538 W058.26.38.398
S051.49.17.799 W058.26.38.349
S051.49.18.128 W058.26.38.485
S051.49.18.312 W058.26.38.640
S051.49.16.606 W058.26.34.643
S051.49.16.694 W058.26.35.863
S051.49.16.590 W058.26.37.091
S051.49.16.453 W058.26.38.226
S051.49.16.296 W058.26.39.275
S051.49.14.915 W058.26.47.304
S051.49.15.335 W058.26.47.492
S051.49.16.562 W058.26.40.381
; - Taxiway6
REGIONNAME Mount Plesant
smrTaxiway S051.49.12.078 W058.26.24.094
S051.49.11.375 W058.26.22.554
S051.49.11.186 W058.26.23.427
S051.49.10.537 W058.26.23.909
S051.49.09.693 W058.26.24.221
S051.49.08.593 W058.26.24.444
S051.49.07.856 W058.26.24.584
S051.49.07.423 W058.26.24.714
S051.49.07.113 W058.26.24.870
S051.49.06.770 W058.26.25.044
S051.49.06.535 W058.26.25.217
S051.49.06.088 W058.26.25.573
S051.49.05.564 W058.26.26.118
S051.49.03.789 W058.26.28.086
S051.49.03.526 W058.26.28.052
S051.49.03.405 W058.26.27.937
S051.49.03.277 W058.26.27.631
S051.49.02.238 W058.26.25.179
S051.49.01.838 W058.26.25.039
S051.49.01.521 W058.26.25.395
S051.49.01.312 W058.26.25.616
S051.49.01.096 W058.26.25.870
S051.49.00.851 W058.26.25.963
S051.49.00.633 W058.26.26.181
S051.49.00.556 W058.26.26.312
S051.48.59.860 W058.26.27.049
S051.49.00.222 W058.26.27.883
S051.49.00.900 W058.26.27.124
S051.49.01.164 W058.26.26.823
S051.49.01.468 W058.26.26.500
S051.49.02.480 W058.26.26.824
S051.49.03.147 W058.26.28.388
S051.49.03.100 W058.26.28.878
S051.49.00.718 W058.26.31.562
S051.49.00.182 W058.26.32.078
S051.48.59.505 W058.26.32.503
S051.48.58.705 W058.26.32.804
S051.48.57.935 W058.26.32.849
S051.48.57.621 W058.26.32.802
S051.48.56.839 W058.26.32.531
S051.48.56.026 W058.26.32.045
S051.48.55.255 W058.26.31.257
S051.48.54.741 W058.26.30.532
S051.48.54.369 W058.26.29.767
S051.48.54.003 W058.26.28.922
S051.48.53.921 W058.26.28.577
S051.48.53.798 W058.26.28.135
S051.48.53.668 W058.26.27.541
S051.48.53.571 W058.26.26.900
S051.48.53.501 W058.26.26.201
S051.48.53.449 W058.26.25.425
S051.48.53.486 W058.26.24.294
S051.48.53.842 W058.26.18.875
S051.48.54.029 W058.26.18.645
S051.48.54.175 W058.26.18.664
S051.48.54.622 W058.26.19.594
S051.48.55.154 W058.26.19.692
S051.48.55.598 W058.26.19.075
S051.48.57.111 W058.26.19.302
S051.48.57.181 W058.26.18.174
S051.48.55.976 W058.26.18.071
S051.48.55.706 W058.26.18.215
S051.48.54.088 W058.26.17.988
S051.48.53.903 W058.26.17.615
S051.48.54.031 W058.26.15.396
S051.48.54.440 W058.26.08.058
S051.48.54.650 W058.26.07.773
S051.48.55.611 W058.26.07.951
S051.48.56.136 W058.26.08.943
S051.48.56.533 W058.26.08.984
S051.48.56.977 W058.26.08.374
S051.48.58.544 W058.26.08.542
S051.48.58.633 W058.26.07.514
S051.48.57.450 W058.26.07.376
S051.48.57.143 W058.26.07.507
S051.48.54.716 W058.26.07.141
S051.48.54.537 W058.26.06.803
S051.48.54.578 W058.26.06.135
S051.48.54.640 W058.26.04.392
S051.48.54.710 W058.26.03.046
S051.48.54.875 W058.26.01.799
S051.48.55.092 W058.26.00.815
S051.48.55.425 W058.25.59.877
S051.48.55.883 W058.25.58.894
S051.48.56.362 W058.25.58.190
S051.48.56.923 W058.25.57.547
S051.48.58.215 W058.25.56.190
S051.48.58.893 W058.25.57.751
S051.49.01.659 W058.25.59.859
S051.48.59.213 W058.25.54.123
S051.48.57.911 W058.25.55.699
S051.48.56.163 W058.25.57.669
S051.48.55.505 W058.25.58.680
S051.48.55.079 W058.25.59.583
S051.48.54.769 W058.25.59.708
S051.48.53.836 W058.25.58.899
S051.48.53.543 W058.25.57.323
S051.48.54.248 W058.25.55.077
S051.48.53.659 W058.25.54.547
S051.48.53.102 W058.25.56.384
S051.48.53.070 W058.25.56.877
S051.48.52.679 W058.25.58.215
S051.48.52.805 W058.25.58.713
S051.48.54.608 W058.26.00.270
S051.48.54.685 W058.26.00.816
S051.48.54.526 W058.26.01.592
S051.48.54.263 W058.26.01.818
S051.48.52.132 W058.26.01.081
S051.48.51.661 W058.25.59.931
S051.48.51.272 W058.25.59.804
S051.48.50.780 W058.26.00.265
S051.48.49.205 W058.25.59.623
S051.48.49.053 W058.26.00.655
S051.48.50.258 W058.26.01.192
S051.48.50.526 W058.26.01.163
S051.48.54.078 W058.26.02.414
S051.48.54.220 W058.26.02.564
S051.48.54.350 W058.26.02.901
S051.48.54.275 W058.26.04.155
S051.48.53.593 W058.26.15.321
S051.48.53.455 W058.26.15.529
S051.48.53.332 W058.26.15.571
S051.48.52.291 W058.26.15.405
S051.48.51.656 W058.26.14.202
S051.48.51.789 W058.26.11.628
S051.48.51.161 W058.26.11.503
S051.48.51.057 W058.26.13.523
S051.48.51.104 W058.26.13.741
S051.48.51.115 W058.26.14.062
S051.48.51.056 W058.26.15.237
S051.48.51.290 W058.26.15.906
S051.48.53.393 W058.26.16.270
S051.48.53.554 W058.26.16.658
S051.48.53.179 W058.26.23.273
S051.48.53.098 W058.26.25.275
S051.48.53.130 W058.26.26.123
S051.48.53.182 W058.26.26.766
S051.48.53.265 W058.26.27.433
S051.48.53.416 W058.26.28.131
S051.48.53.570 W058.26.28.731
S051.48.53.730 W058.26.29.291
S051.48.53.919 W058.26.29.902
S051.48.53.875 W058.26.30.327
S051.48.53.027 W058.26.31.405
S051.48.51.988 W058.26.31.166
S051.48.51.035 W058.26.29.116
S051.48.50.527 W058.26.29.766
S051.48.51.298 W058.26.31.462
S051.48.51.502 W058.26.31.581
S051.48.52.097 W058.26.32.776
S051.48.52.492 W058.26.32.897
S051.48.53.266 W058.26.31.920
S051.48.54.077 W058.26.30.891
S051.48.54.454 W058.26.30.899
S051.48.54.996 W058.26.31.667
S051.48.55.474 W058.26.32.238
S051.48.56.170 W058.26.32.800
S051.48.56.855 W058.26.33.191
S051.48.57.648 W058.26.33.440
S051.48.57.835 W058.26.33.788
S051.48.57.843 W058.26.35.114
S051.48.57.833 W058.26.36.433
S051.48.57.703 W058.26.36.766
S051.48.57.688 W058.26.38.719
S051.48.58.353 W058.26.38.744
S051.48.58.377 W058.26.36.812
S051.48.58.382 W058.26.36.265
S051.48.58.807 W058.26.35.617
S051.48.58.813 W058.26.34.996
S051.48.58.301 W058.26.34.087
S051.48.58.254 W058.26.33.930
S051.48.58.250 W058.26.33.796
S051.48.58.446 W058.26.33.478
S051.48.59.029 W058.26.33.308
S051.48.59.731 W058.26.33.025
S051.49.00.430 W058.26.32.544
S051.49.00.954 W058.26.32.012
S051.49.03.326 W058.26.29.409
S051.49.03.763 W058.26.28.858
S051.49.06.030 W058.26.26.345
S051.49.06.636 W058.26.25.775
S051.49.07.215 W058.26.25.430
S051.49.07.624 W058.26.25.250
S051.49.07.999 W058.26.25.170
S051.49.08.442 W058.26.25.103
S051.49.08.699 W058.26.25.041
S051.49.09.696 W058.26.24.797
S051.49.11.227 W058.26.52.526
S051.49.12.268 W058.26.24.511
; - Taxiway7
REGIONNAME Mount Plesant
smrTaxiway S051.49.04.979 W058.25.48.548
S051.49.05.254 W058.25.48.597
S051.49.05.907 W058.25.50.071
S051.49.05.732 W058.25.51.684
S051.49.05.253 W058.25.52.232
S051.49.05.148 W058.25.52.189
S051.49.04.429 W058.25.52.994
S051.49.04.830 W058.25.53.918
S051.49.05.541 W058.25.53.177
S051.49.05.850 W058.25.52.800
S051.49.05.987 W058.25.52.477
S051.49.06.736 W058.25.51.660
S051.49.06.809 W058.25.51.011
S051.49.05.653 W058.25.48.183
S051.49.05.683 W058.25.47.741
S051.49.06.734 W058.25.46.592
S051.49.07.351 W058.25.46.136
S051.49.07.690 W058.25.45.937
S051.49.08.145 W058.25.45.737
S051.49.09.175 W058.25.45.623
S051.49.09.861 W058.25.45.709
S051.49.10.969 W058.25.46.269
S051.49.11.462 W058.25.46.695
S051.49.11.869 W058.25.47.164
S051.49.12.066 W058.25.47.402
S051.49.12.248 W058.25.47.640
S051.49.12.762 W058.25.48.621
S051.49.13.190 W058.25.49.796
S051.49.13.544 W058.25.51.179
S051.49.13.429 W058.25.51.706
S051.49.13.333 W058.25.51.753
S051.49.12.551 W058.25.51.217
S051.49.12.196 W058.25.51.397
S051.49.11.928 W058.25.52.308
S051.49.10.516 W058.25.53.028
S051.49.10.805 W058.25.54.162
S051.49.11.811 W058.25.53.626
S051.49.11.965 W058.25.53.252
S051.49.13.567 W058.25.52.321
S051.49.13.837 W058.25.52.531
S051.49.15.514 W058.26.00.014
S051.49.16.828 W058.26.05.931
S051.49.16.706 W058.26.06.264
S051.49.15.337 W058.26.07.135
S051.49.14.630 W058.26.08.240
S051.49.14.366 W058.26.08.412
S051.49.13.598 W058.26.09.739
S051.49.13.989 W058.26.10.422
S051.49.15.232 W058.26.08.496
S051.49.15.537 W058.26.08.668
S051.49.15.927 W058.26.08.444
S051.49.16.280 W058.26.07.281
S051.49.16.833 W058.26.06.970
S051.49.17.046 W058.26.07.174
S051.49.17.867 W058.26.10.495
S051.49.18.426 W058.26.13.198
S051.49.19.971 W058.26.20.116
S051.49.19.829 W058.26.20.578
S051.49.18.822 W058.26.21.192
S051.49.17.934 W058.26.20.483
S051.49.17.361 W058.26.18.086
S051.49.16.686 W058.26.18.500
S051.49.17.140 W058.26.20.344
S051.49.17.300 W058.26.20.525
S051.49.17.656 W058.26.22.045
S051.49.18.011 W058.26.22.346
S051.49.19.984 W058.26.21.271
S051.49.20.213 W058.26.21.355
S051.49.20.615 W058.26.22.962
S051.49.21.425 W058.26.26.564
S051.49.22.030 W058.26.29.251
S051.49.22.383 W058.26.30.884
S051.49.22.600 W058.26.32.173
S051.49.22.766 W058.26.33.143
S051.49.22.718 W058.26.34.589
S051.49.23.253 W058.26.31.332
S051.49.22.777 W058.26.29.258
S051.49.22.374 W058.26.27.107
S051.49.22.233 W058.26.26.225
S051.49.22.161 W058.26.25.466
S051.49.22.264 W058.26.24.481
S051.49.22.419 W058.26.23.394
S051.49.22.613 W058.26.22.635
S051.49.22.827 W058.26.21.773
S051.49.23.042 W058.26.21.039
S051.49.23.387 W058.26.20.605
S051.49.23.782 W058.26.20.421
S051.49.24.160 W058.26.20.419
S051.49.24.480 W058.26.20.680
S051.49.24.689 W058.26.21.212
S051.49.24.686 W058.26.21.931
S051.49.24.460 W058.26.24.283
S051.49.25.305 W058.26.19.349
S051.49.24.526 W058.26.19.013
S051.49.23.805 W058.26.18.850
S051.49.23.132 W058.26.19.105
S051.49.22.727 W058.26.19.523
S051.49.22.371 W058.26.20.093
S051.49.22.125 W058.26.20.743
S051.49.21.995 W058.26.21.305
S051.49.21.420 W058.26.24.568
S051.49.20.627 W058.26.21.123
S051.49.19.812 W058.26.17.462
S051.49.19.833 W058.26.15.434
S051.49.20.219 W058.26.12.975
S051.49.20.957 W058.26.12.271
S051.49.21.056 W058.26.11.669
S051.49.20.752 W058.26.10.791
S051.49.21.139 W058.26.08.352
S051.49.20.470 W058.26.08.025
S051.49.20.203 W058.26.10.005
S051.49.20.224 W058.26.10.354
S051.49.19.478 W058.26.14.811
S051.49.19.259 W058.26.14.925
S051.49.18.799 W058.26.12.947
S051.49.18.754 W058.26.10.671
S051.49.20.176 W058.26.02.959
S051.49.19.498 W058.26.02.688
S051.49.19.099 W058.26.05.261
S051.49.18.598 W058.26.05.752
S051.49.18.471 W058.26.06.345
S051.49.18.864 W058.26.07.479
S051.49.18.472 W058.26.09.990
S051.49.18.194 W058.26.10.240
S051.49.15.859 W058.25.59.849
S051.49.15.998 W058.25.59.224
S051.49.17.459 W058.25.58.334
S051.49.18.960 W058.25.57.462
S051.49.19.200 W058.25.57.531
S051.49.20.356 W058.25.56.731
S051.49.20.153 W058.25.55.792
S051.49.18.679 W058.25.56.711
S051.49.18.126 W058.25.56.300
S051.49.17.756 W058.25.56.449
S051.49.17.422 W058.25.57.661
S051.49.15.861 W058.25.58.591
S051.49.15.570 W058.25.58.410
S051.49.13.931 W058.25.50.954
S051.49.13.545 W058.25.49.503
S051.49.13.079 W058.25.48.226
S051.49.13.102 W058.25.47.762
S051.49.14.281 W058.25.46.034
S051.49.14.528 W058.25.45.848
S051.49.15.461 W058.25.44.480
S051.49.15.035 W058.25.43.601
S051.49.13.904 W058.25.45.405
S051.49.13.301 W058.25.45.365
S051.49.12.991 W058.25.45.824
S051.49.12.937 W058.25.47.155
S051.49.12.874 W058.25.47.247
S051.49.12.537 W058.25.47.245
S051.49.12.206 W058.25.46.856
S051.49.11.470 W058.25.46.009
S051.49.10.850 W058.25.45.530
S051.49.10.037 W058.25.45.140
S051.49.09.313 W058.25.44.961
S051.49.08.672 W058.25.45.018
S051.49.07.902 W058.25.45.204
S051.49.07.329 W058.25.45.478
S051.49.06.545 W058.25.46.028
S051.49.05.497 W058.25.47.201
S051.48.59.839 W058.25.53.522
S051.49.00.160 W058.25.54.212
S051.49.00.196 W058.25.53.938
; - Untitled_Polygon_2
REGIONNAME Mount Plesant
1385587 S051.49.24.794 W058.28.10.617
S051.49.24.534 W058.28.10.492
S051.49.24.640 W058.28.09.485
S051.49.23.419 W058.28.08.840
S051.49.23.741 W058.28.06.620
S051.49.21.840 W058.28.05.709
S051.49.21.684 W058.28.06.692
S051.49.21.496 W058.28.07.677
S051.49.21.336 W058.28.08.812
S051.49.21.152 W058.28.10.083
S051.49.24.684 W058.28.11.590
; - Untitled_Polygon_3
REGIONNAME Mount Plesant
1385587 S051.49.23.561 W058.28.04.652
S051.49.24.279 W058.28.00.195
S051.49.23.182 W058.27.59.737
S051.49.22.454 W058.28.04.226
; - Untitled_Polygon_4
REGIONNAME Mount Plesant
smrTaxiway S051.49.08.944 W058.27.54.018
S051.49.09.040 W058.27.54.301
S051.49.09.115 W058.27.54.799
S051.49.09.470 W058.27.52.539
S051.49.09.500 W058.27.52.188
S051.49.08.983 W058.27.52.909
S051.49.08.061 W058.27.52.601
S051.49.04.783 W058.27.51.063
S051.49.04.181 W058.27.49.379
S051.49.03.263 W058.27.48.974
S051.49.02.456 W058.27.49.675
S051.49.02.170 W058.27.51.207
S051.49.02.645 W058.27.52.478
S051.49.03.539 W058.27.52.943
S051.49.04.652 W058.27.51.912
S051.49.08.770 W058.27.53.743
; - Untitled_Polygon_5
REGIONNAME Mount Plesant
smrTaxiway S051.49.03.557 W058.28.23.308
S051.49.03.673 W058.28.23.459
S051.49.03.741 W058.28.23.573
S051.49.03.897 W058.28.23.830
S051.49.04.001 W058.28.24.234
S051.49.04.037 W058.28.24.643
S051.49.04.316 W058.28.22.902
S051.49.04.425 W058.28.22.425
S051.49.04.458 W058.28.22.102
S051.49.04.008 W058.28.22.474
S051.49.03.618 W058.28.22.466
S051.49.03.058 W058.28.22.269
S051.48.57.504 W058.28.19.572
S051.48.56.867 W058.28.17.969
S051.48.55.784 W058.28.17.610
S051.48.54.835 W058.28.18.212
S051.48.54.545 W058.28.19.881
S051.48.55.066 W058.28.21.061
S051.48.56.165 W058.28.21.559
S051.48.57.318 W058.28.20.565
; - Untitled_Polygon_6
REGIONNAME Mount Plesant
smrGreen S051.49.12.951 W058.28.11.081
S051.49.15.218 W058.27.57.375
S051.49.15.132 W058.27.56.713
S051.49.14.993 W058.27.55.965
S051.49.12.927 W058.27.49.864
S051.49.12.759 W058.27.49.600
S051.49.12.660 W058.27.49.401
S051.49.12.357 W058.27.49.227
S051.49.12.095 W058.27.49.192
S051.49.11.868 W058.27.49.331
S051.49.11.650 W058.27.49.565
S051.49.11.531 W058.27.49.851
S051.49.11.332 W058.27.51.092
S051.49.09.918 W058.27.59.341
S051.49.08.817 W058.28.05.824
S051.49.07.525 W058.28.13.445
S051.49.06.082 W058.28.22.232
S051.49.05.744 W058.28.24.073
S051.49.05.799 W058.28.24.637
S051.49.05.831 W058.28.25.091
S051.49.05.881 W058.28.25.396
S051.49.05.932 W058.28.25.911
S051.49.06.014 W058.28.26.504
S051.49.06.094 W058.28.27.127
S051.49.06.090 W058.28.27.992
S051.49.06.051 W058.28.28.671
S051.49.05.904 W058.28.29.678
S051.49.07.609 W058.28.30.302
S051.49.07.969 W058.28.30.403
S051.49.08.527 W058.28.30.263
S051.49.08.931 W058.28.30.105
S051.49.09.252 W058.28.29.786
S051.49.09.614 W058.28.29.408
S051.49.09.722 W058.28.29.019
S051.49.09.885 W058.28.28.445
S051.49.09.988 W058.28.27.972
S051.49.10.088 W058.28.27.377
S051.49.10.175 W058.28.26.969
S051.49.10.289 W058.28.26.304
S051.49.11.203 W058.28.21.290
; - Untitled_Polygon_7
REGIONNAME Mount Plesant
smrGreen S051.49.12.691 W058.27.03.595
S051.49.12.721 W058.27.04.425
S051.49.12.864 W058.27.05.184
S051.49.15.133 W058.27.11.666
S051.49.15.352 W058.27.11.908
S051.49.15.444 W058.27.11.988
S051.49.15.745 W058.27.12.106
S051.49.16.117 W058.27.11.939
S051.49.16.467 W058.27.11.480
S051.49.16.806 W058.27.09.382
S051.49.20.755 W058.26.46.153
S051.49.20.802 W058.26.45.828
S051.49.20.802 W058.26.45.514
S051.49.20.807 W058.26.45.292
S051.49.20.787 W058.26.44.979
S051.49.20.744 W058.26.44.715
S051.49.20.694 W058.26.44.384
S051.49.20.582 W058.26.43.953
S051.49.20.438 W058.26.43.579
S051.49.18.529 W058.26.39.122
S051.49.18.318 W058.26.38.628
S051.49.18.096 W058.26.38.478
S051.49.17.791 W058.26.38.366
S051.49.17.505 W058.26.38.410
S051.49.17.257 W058.26.38.557
S051.49.17.031 W058.26.38.858
S051.49.16.823 W058.26.39.376
S051.49.16.609 W058.26.40.155
S051.49.16.361 W058.26.41.609
S051.49.12.803 W058.27.02.527
